filename,tool,cutting_depth_ap,tool_diameter_d,diameter_ae,feed_vel_f,revol_N,num_of_inserts_z,feet_per_insert_fz,cut_vel_vc,Power,Energy,time,distance
Trace_080807_104609R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1191.71880058273,11450.0342359988,9.608,0.151966533333333
Trace_080807_104629R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1186.20850844953,11397.0913491831,9.608,0.151966533333333
Trace_080807_104648R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1166.55616251821,11208.271609475,9.608,0.151966533333333
Trace_080807_105137R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1164.24532595213,11186.0690917481,9.608,0.151966533333333
Trace_080807_105157R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1188.54315163644,11400.5059104967,9.592,0.151713466666667
Trace_080807_105216R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1187.68934657648,11411.3192419068,9.608,0.151966533333333
Trace_080807_105236R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1191.41558926119,11447.1209816215,9.608,0.151966533333333
Trace_080807_105256R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1194.29229858481,11474.7604048028,9.608,0.151966533333333
Trace_080807_105315R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1191.27923061394,11445.8108477388,9.608,0.151966533333333
Trace_080807_105334R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1193.20245997919,11464.28923548,9.608,0.151966533333333
Trace_080807_105354R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1190.58878066597,11439.1770046387,9.608,0.151966533333333
Trace_080807_105413R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1186.27439519251,11397.7243890096,9.608,0.151966533333333
Trace_080807_105432R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1167.20696486993,11214.5245184703,9.608,0.151966533333333
Trace_080807_110037R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1168.58990676379,11227.8118241865,9.608,0.151966533333333
Trace_080807_110057R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1190.2360276795,11435.7877539446,9.608,0.151966533333333
Trace_080807_110117R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1189.75538799168,11431.169767824,9.608,0.151966533333333
Trace_080807_110136R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1194.20191552549,11473.892004369,9.608,0.151966533333333
Trace_080807_110156R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1195.0333901769,11481.8808128196,9.608,0.151966533333333
Trace_080807_110216R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1191.73631648283,11450.202528767,9.608,0.151966533333333
Trace_080807_110235R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1194.81497442248,11479.7822742512,9.608,0.151966533333333
